Eng,Beng
move,সরানো
night,রাত
live,লাইভ দেখান
Mr,জনাব
point,বিন্দু
believe,বিশ্বাস
hold,রাখা
today,আজ
bring,আনা
happen,ঘটবে
next,পরবর্তী
without,ছাড়া
before,আগে
large,বড়
million,মিলিয়ন
must,অবশ্যই
home,বাড়ি
under,অধীন
water,জল
room,রুম
write,লিখুন
mother,মা
area,এলাকা
national,জাতীয়
money,টাকা
story,গল্প
young,তরুণ
fact,সত্য
month,মাস
different,ভিন্ন
lot,অনেক
study,অধ্যয়ন
book,বই
eye,চোখ
job,চাকরি
word,শব্দ
though,যদিও
business,ব্যবসা
issue,সমস্যা
side,পক্ষ
kind,ধরনের
four,চার
head,মাথা
far,দূরে
black,কালো
long,দীর্ঘ
both,উভয়
little,সামান্য
house,গৃহ
yes,হ্যাঁ
since,থেকে
provide,প্রদান
service,সেবা
around,কাছাকাছি
friend,বন্ধু
important,গুরুত্বপূর্ণ
father,পিতা
sit,বসা
away,দূরে
until,পর্যন্ত
power,ক্ষমতা
hour,ঘন্টা
game,খেলা
often,প্রায়ই
yet,এখনো
line,লাইন
political,রাজনৈতিক
end,শেষ
among,মধ্যে
ever,কখনও
stand,দাঁড়ানো
bad,খারাপ
lose,হারান
however,যাহোক
member,সদস্য
pay,বেতন
law,আইন
meet,সম্মেলন
car,গাড়ী
city,শহর
almost,প্রায়
include,অন্তর্ভুক্ত
continue,চালিয়ে যান
set,সেট
later,পরে
community,সম্প্রদায়
name,নাম
five,পাঁচ
once,একদা
white,সাদা
least,অন্তত
president,রাষ্ট্রপতি
learn,শিখতে
real,বাস্তব
change,পরিবর্তন
team,টীম
minute,মিনিট
best,সেরা
several,বেশ কিছু
idea,ধারণা
kid,বাচ্চা
body,শরীর
information,তথ্য
nothing,কিছুই না
ago,আগে
lead,নেতৃত্ব
social,সামাজিক
understand,বোঝা
whether,কিনা
watch,ঘড়ি
together,একসাথে
follow,অনুসরণ
parent,অভিভাবক
stop,থামা
face,মুখ
anything,কিছু
create,সৃষ্টি
public,পাবলিক
already,ইতিমধ্যে
speak,কথা বলা
others,অন্যান্য
read,পড়া
level,স্তর
allow,অনুমতি
add,যোগ করুন
office,দপ্তর
spend,ব্যয় করা
door,দরজা
health,স্বাস্থ্য
person,ব্যক্তি
art,শিল্প
sure,নিশ্চিত
war,যুদ্ধ
history,ইতিহাস
party,পার্টি
within,মধ্যে
grow,হত্তয়া
result,ফলাফল
open,খোলা
morning,সকাল
walk,হাঁটা
reason,কারণ
low,কম
win,জয়
research,গবেষণা
girl,মেয়ে
guy,লোক
early,তাড়াতাড়ি
food,খাদ্য
moment,মুহূর্ত
himself,নিজেকে
air,বায়ু
teacher,শিক্ষক
force,বল
offer,অফার
enough,যথেষ্ট
education,শিক্ষা
across,জুড়ে
although,যদিও
remember,মনে রাখবেন
foot,পা
second,দ্বিতীয়
boy,ছেলে
maybe,হতে পারে
toward,দিকে
able,সক্ষম
age,বয়স
policy,নীতি
everything,সবকিছু
love,ভালবাসা
process,প্রক্রিয়া
music,সঙ্গীত
including,সহ
consider,বিবেচনা
appear,প্রদর্শিত
actually,আসলে
buy,কেনা
probably,সম্ভবত
human,মানব
wait,অপেক্ষা করুন
serve,পরিবেশন করা
market,বাজার
die,মারা
send,পাঠান
expect,আশা করা
sense,অনুভূতি
build,নির্মাণ
stay,থাকা
fall,পতন
oh,উহু
nation,জাতি
plan,পরিকল্পনা
cut,কাটা
college,কলেজ
interest,স্বার্থ
death,মৃত্যু
course,অবশ্যই
someone,কেউ
experience,অভিজ্ঞতা
behind,পিছনে
reach,পৌঁছানো
local,স্থানীয়
kill,হত্যা
six,ছয়
remain,থাকা
effect,প্রভাব
yeah,হ্যাঁ
suggest,পরামর্শ
class,ক্লাস
control,নিয়ন্ত্রণ
raise,বাড়াতে
care,যত্ন
perhaps,সম্ভবত
late,দেরী
hard,কঠিন
field,ক্ষেত্র
else,অন্য
pass,পাস
former,সাবেক
sell,বিক্রি
major,প্রধান
sometimes,কখনও কখনও
require,প্রয়োজন
along,বরাবর
development,উন্নয়ন
themselves,নিজেদের
report,রিপোর্ট
role,ভূমিকা
better,উত্তম
economic,অর্থনৈতিক
effort,প্রচেষ্টা
decide,সিদ্ধান্ত
rate,হার
strong,শক্তিশালী
possible,সম্ভব
heart,হৃদয়
drug,ড্রাগ
leader,নেতা
light,আলো
voice,ভয়েস
wife,স্ত্রী
whole,সম্পূর্ণ
police,পুলিশ
mind,মন
finally,অবশেষে
pull,টান
return,ফিরে
free,বিনামূল্যে
military,সামরিক
price,মূল্য
less,কম
according,অনুযায়ী
decision,সিদ্ধান্ত
explain,ব্যাখ্যা করা
son,পুত্র
hope,আশা
develop,বিকাশ
view,দেখুন
relationship,সম্পর্ক
carry,বহন
town,শহর
road,রাস্তা
drive,ড্রাইভ
arm,বাহু
TRUE,সত্য
federal,ফেডারেল
break,বিরতি
difference,পার্থক্য
thank,ধন্যবাদ
receive,গ্রহণ
value,মান
international,আন্তর্জাতিক
building,ভবন
action,কর্ম
full,সম্পূর্ণ
model,মডেল
join,যোগদান
season,মৌসম
society,সমাজ
tax,ট্যাক্স
director,পরিচালক
position,অবস্থান
player,খেলোয়াড়
agree,একমত
especially,বিশেষ করে
record,রেকর্ড
pick,বাছাই
wear,পরিধান
paper,কাগজ
special,বিশেষ
space,স্থান
ground,স্থল
form,ফর্ম
support,সমর্থন
event,ঘটনা
official,দাপ্তরিক
whose,যার
matter,ব্যাপার
everyone,সবাই
center,কেন্দ্র
couple,দম্পতি
site,সাইট
project,প্রকল্প
hit,আঘাত
base,ভিত্তি
activity,কার্যকলাপ
star,তারকা
table,টেবিল
court,আদালত
produce,উৎপাদন করা
eat,খাওয়া
teach,শেখান
oil,তেল
half,অর্ধেক
situation,অবস্থা
easy,সহজ
cost,খরচ
industry,শিল্প
figure,চিত্র
street,রাস্তা
image,ইমেজ
itself,নিজেই
phone,ফোন
either,হয়
data,তথ্য
cover,আবরণ
quite,বেশ
picture,ছবি
clear,পরিষ্কার
practice,অনুশীলন করা
piece,টুকরা
land,জমি
recent,সাম্প্রতিক
describe,বর্ণনা
product,পণ্য
doctor,ডাক্তার
wall,প্রাচীর
patient,রোগী
worker,কর্মী
news,খবর
test,পরীক্ষা
movie,সিনেমা
certain,নিশ্চিত
north,উত্তর
personal,ব্যক্তিগত
simply,কেবল
third,তৃতীয়
technology,প্রযুক্তি
catch,ধরা
step,পদক্ষেপ
baby,শিশু
computer,কম্পিউটার
type,প্রকার
attention,মনোযোগ
draw,আঁকা
film,চলচ্চিত্র
Republican,রিপাবলিকান
tree,গাছ
source,উৎস
red,লাল
nearly,প্রায়
organization,সংগঠন
choose,পছন্দ করা
cause,কারণ
hair,চুল
century,শতাব্দী
evidence,প্রমান
window,জানলা
difficult,কঠিন
listen,শুনুন
soon,শীঘ্রই
culture,সংস্কৃতি
billion,বিলিয়ন
chance,সুযোগ
brother,ভাই
energy,শক্তি
period,সময়কাল
summer,গ্রীষ্ম
realize,উপলব্ধি করা
hundred,শত
available,উপলব্ধ
plant,উদ্ভিদ
likely,সম্ভবত
opportunity,সুযোগ
term,মেয়াদ
short,সংক্ষিপ্ত
letter,চিঠি
condition,অবস্থা
choice,পছন্দ
single,একক
rule,নিয়ম
daughter,কন্যা
administration,প্রশাসন
south,দক্ষিণ
husband,স্বামী
Congress,কংগ্রেস
floor,মেঝে
campaign,প্রচারণা
material,উপাদান
population,জনসংখ্যা
economy,অর্থনীতি
medical,চিকিৎসা
hospital,হাসপাতাল
church,গির্জা
close,বন্ধ
thousand,হাজার
risk,ঝুঁকি
current,বর্তমান
fire,আগুন
future,ভবিষ্যৎ
wrong,ভুল
involve,জড়িত
defense,প্রতিরক্ষা
anyone,যে কেউ
increase,বৃদ্ধি
security,নিরাপত্তা
bank,ব্যাংক
myself,নিজেকে
certainly,অবশ্যই
west,পশ্চিম
sport,খেলা
board,বোর্ড
seek,চাওয়া
per,প্রতি
subject,বিষয়
officer,অফিসার
private,ব্যক্তিগত
rest,বিশ্রাম
behavior,আচরণ
deal,চুক্তি
performance,কর্মক্ষমতা
fight,যুদ্ধ
throw,নিক্ষেপ
top,শীর্ষ
quickly,দ্রুত
past,অতীত
goal,লক্ষ্য
bed,বিছানা
order,আদেশ
author,লেখক
fill,পূরণ
represent,চিত্রিত করা
focus,ফোকাস
foreign,বিদেশী
drop,ড্রপ
blood,রক্ত
upon,উপর
agency,সংস্থা
push,ধাক্কা
nature,প্রকৃতি
color,রঙ
recently,সম্প্রতি
store,দোকান
reduce,হ্রাস করা
sound,শব্দ
note,বিঃদ্রঃ
fine,জরিমানা
near,কাছাকাছি
movement,আন্দোলন
page,পৃষ্ঠা
enter,প্রবেশ করা
share,ভাগ
common,সাধারণ
poor,দরিদ্র
natural,প্রাকৃতিক
race,জাতি
concern,উদ্বেগ
series,সিরিজ
significant,উল্লেখযোগ্য
similar,অনুরূপ
hot,গরম
language,ভাষা
usually,সাধারণত
response,প্রতিক্রিয়া
dead,মৃত
rise,উঠা
animal,পশু
factor,ফ্যাক্টর
decade,দশক
article,নিবন্ধ
shoot,অঙ্কুর
east,পূর্ব
save,সংরক্ষণ
seven,সাত
artist,শিল্পী
scene,দৃশ্য
stock,স্টক
career,কর্মজীবন
despite,সত্ত্বেও
central,কেন্দ্রীয়
eight,আট
thus,এইভাবে
treatment,চিকিত্সা
beyond,তার পরেও
happy,খুশি
exactly,ঠিক
protect,রক্ষা
approach,পন্থা
lie,মিথ্যা
size,আকার
dog,কুকুর
fund,তহবিল
serious,গুরুতর
occur,ঘটবে
media,মিডিয়া
ready,প্রস্তুত
sign,চিহ্ন
thought,চিন্তা
list,তালিকা
individual,স্বতন্ত্র
simple,সহজ
quality,গুণমান
pressure,চাপ
accept,গ্রহণ
answer,উত্তর
resource,সম্পদ
identify,সনাক্ত করা
left,বাম
meeting,মিটিং
determine,নির্ধারণ
prepare,প্রস্তুত করা
disease,রোগ
whatever,যাই হোক
success,সাফল্য
argue,তর্ক করা
cup,কাপ
particularly,বিশেষ করে
amount,পরিমাণ
ability,ক্ষমতা
staff,কর্মী
recognize,চিনতে
indicate,নির্দেশ করে
character,চরিত্র
growth,বৃদ্ধি
loss,ক্ষতি
degree,ডিগ্রী
wonder,আশ্চর্য
attack,আক্রমণ
herself,নিজেকে
region,অঞ্চল
television,টেলিভিশন
box,বাক্স
TV,টেলিভিশন
training,প্রশিক্ষণ
pretty,সুন্দর
trade,বাণিজ্য
election,নির্বাচন
everybody,সবাই
physical,শারীরিক
lay,রাখা
general,সাধারণ
feeling,অনুভূতি
standard,মান
bill,বিল
message,বার্তা
fail,ব্যর্থ
outside,বাইরে
arrive,পৌঁছা
analysis,বিশ্লেষণ
benefit,সুবিধা
sex,যৌনতা
forward,এগিয়ে
lawyer,আইনজীবী
present,বর্তমান
section,অধ্যায়
environmental,পরিবেশগত
glass,গ্লাস
skill,দক্ষতা
sister,বোন
PM,পিএম
professor,অধ্যাপক
operation,অপারেশন
financial,আর্থিক
crime,অপরাধ
stage,মঞ্চ
ok,ঠিক আছে
compare,তুলনা করা
authority,কর্তৃত্ব
miss,হারানো
design,নকশা
sort,সাজান
act,আইন
ten,দশ
knowledge,জ্ঞান
gun,বন্দুক
station,স্টেশন
blue,নীল
strategy,কৌশল
clearly,পরিষ্কারভাবে
discuss,আলোচনা করা
indeed,প্রকৃতপক্ষে
truth,সত্য
song,গান
example,উদাহরণ
democratic,গণতান্ত্রিক
check,চেক
environment,পরিবেশ
leg,পা
dark,অন্ধকার
various,বিভিন্ন
rather,বরং
laugh,হাসি
guess,অনুমান
executive,কার্যনির্বাহী
prove,প্রমাণ
hang,স্তব্ধ
entire,সম্পূর্ণ
rock,শিলা
forget,ভুলে যাও
claim,দাবি
remove,অপসারণ
manager,ম্যানেজার
enjoy,উপভোগ
network,অন্তর্জাল
legal,আইনি
religious,ধর্মীয়
cold,ঠান্ডা
final,চূড়ান্ত
main,প্রধান
science,বিজ্ঞান
green,সবুজ
memory,স্মৃতি
card,কার্ড
above,উপরে
seat,আসন
cell,কোষ
establish,প্রতিষ্ঠা
nice,চমৎকার
trial,বিচার
expert,বিশেষজ্ঞ
spring,বসন্ত
firm,দৃঢ়
Democrat,গণতন্ত্রী
radio,রেডিও
visit,পরিদর্শন
management,ব্যবস্থাপনা
avoid,এড়াতে
imagine,কল্পনা করা
tonight,আজ রাতে
huge,বিপুল
ball,বল
finish,শেষ
yourself,নিজেকে
theory,তত্ত্ব
impact,প্রভাব
respond,প্রতিক্রিয়া
statement,বিবৃতি
maintain,বজায় রাখা
charge,চার্জ
popular,জনপ্রিয়
traditional,ঐতিহ্যগত
onto,উপর
reveal,প্রকাশ করা
direction,অভিমুখ
weapon,অস্ত্র
employee,কর্মচারী
cultural,সাংস্কৃতিক
contain,ধারণ
peace,শান্তি
pain,ব্যথা
apply,আবেদন
measure,পরিমাপ করা
wide,প্রশস্ত
shake,ঝাঁকি
fly,মাছি
interview,সাক্ষাৎকার
manage,পরিচালনা
chair,চেয়ার
fish,মাছ
particular,বিশেষ
camera,ক্যামেরা
structure,গঠন
politics,রাজনীতি
perform,সঞ্চালন
bit,বিট
weight,ওজন
suddenly,হঠাৎ
discover,আবিষ্কার
candidate,প্রার্থী
production,উত্পাদন
treat,চিকিত্সা
trip,ট্রিপ
evening,সন্ধ্যা
affect,প্রভাবিত
inside,ভিতরে
conference,সম্মেলন
unit,ইউনিট
style,শৈলী
adult,প্রাপ্তবয়স্ক
worry,চিন্তা
range,পরিসীমা
mention,উল্লেখ
deep,গভীর
edge,প্রান্ত
specific,নির্দিষ্ট
writer,লেখক
trouble,কষ্ট
necessary,প্রয়োজনীয়
throughout,সর্বত্র
challenge,চ্যালেঞ্জ
fear,ভয়
shoulder,কাঁধ
institution,প্রতিষ্ঠান
middle,মধ্যম
sea,সমুদ্র
dream,স্বপ্ন
bar,বার
beautiful,সুন্দর
property,সম্পত্তি
instead,পরিবর্তে
improve,উন্নতি
stuff,জিনিসপত্র
detail,বিস্তারিত
method,পদ্ধতি
somebody,কেউ
magazine,পত্রিকা
hotel,হোটেল
soldier,সৈনিক
reflect,প্রতিফলিত করা
heavy,ভারী
sexual,যৌন
bag,থলে
heat,তাপ
marriage,বিবাহ
tough,কঠিন
sing,গান
surface,পৃষ্ঠতল
purpose,উদ্দেশ্য
exist,বিদ্যমান
pattern,প্যাটার্ন
whom,কাকে
skin,চামড়া
agent,প্রতিনিধি
owner,মালিক
machine,মেশিন
gas,গ্যাস
ahead,এগিয়ে
generation,প্রজন্ম
commercial,ব্যবসায়িক
address,ঠিকানা
cancer,ক্যান্সার
item,আইটেম
reality,বাস্তবতা
coach,কোচ
Mrs,জনাবা
yard,গজ
beat,বীট
violence,সহিংসতা
total,মোট
tend,ঝোঁক
investment,বিনিয়োগ
discussion,আলোচনা
finger,আঙুল
garden,বাগান
notice,নোটিশ
collection,সংগ্রহ
modern,আধুনিক
task,টাস্ক
partner,অংশীদার
positive,ইতিবাচক
civil,নাগরিক
kitchen,রান্নাঘর
consumer,ভোক্তা
shot,গুলি
budget,বাজেট
wish,ইচ্ছা
painting,পেইন্টিং
scientist,বিজ্ঞানী
safe,নিরাপদ
agreement,চুক্তি
capital,মূলধন
mouth,মুখ
nor,বা
victim,শিকার
newspaper,সংবাদপত্র
threat,হুমকি
responsibility,দায়িত্ব
smile,হাসি
attorney,অ্যাটর্নি
score,স্কোর
account,অ্যাকাউন্ট
interesting,মজাদার
audience,শ্রোতা
rich,ধনী
dinner,রাতের খাবার
vote,ভোট
western,পশ্চিমী
relate,বলা
travel,ভ্রমণ
debate,বিতর্ক
prevent,প্রতিরোধ
citizen,নাগরিক
majority,সংখ্যাগরিষ্ঠ
none,কোনটি
front,সামনে
born,জন্ম
admit,স্বীকার করা
senior,ঊর্ধ্বতন
assume,অনুমান
wind,বায়ু
key,চাবি
professional,পেশাদার
mission,মিশন
fast,দ্রুত
alone,একা
customer,ক্রেতা
suffer,ভোগা
speech,বক্তৃতা
successful,সফল
option,বিকল্প
participant,অংশগ্রহণকারী
southern,দক্ষিণ
fresh,তাজা
eventually,অবশেষে
forest,বন। জংগল
video,ভিডিও
global,বিশ্বব্যাপী
Senate,সিনেট
reform,সংশোধন
access,অ্যাক্সেস
restaurant,রেঁস্তোরা
judge,বিচারক
publish,প্রকাশ
relation,সম্পর্ক
release,মুক্তি
bird,পাখি
opinion,মতামত
credit,ক্রেডিট
critical,সমালোচনামূলক
corner,কোণ
concerned,উদ্বিগ্ন
recall,প্রত্যাহার
version,সংস্করণ
stare,তাকান
safety,নিরাপত্তা
effective,কার্যকর
neighborhood,পাড়া
original,মূল
troop,সৈন্যদল
income,আয়
directly,সরাসরি
hurt,আঘাত
species,প্রজাতি
immediately,অবিলম্বে
track,ট্র্যাক
basic,মৌলিক
strike,ধর্মঘট
sky,আকাশ
freedom,স্বাধীনতা
absolutely,একেবারে
plane,সমতল
nobody,কেউ
achieve,অর্জন
object,বস্তু
attitude,মনোভাব
labor,শ্রম
refer,উল্লেখ করুন
concept,ধারণা
client,ক্লায়েন্ট
powerful,ক্ষমতাশালী
perfect,নিখুঁত
nine,নয়টি
therefore,তাই
conduct,পরিচালনা
announce,ঘোষণা করা
conversation,কথোপকথন
examine,পরীক্ষা করা
touch,স্পর্শ
please,অনুগ্রহ
attend,অংশগ্রহণ
completely,সম্পূর্ণরূপে
variety,বৈচিত্র্য
sleep,ঘুম
involved,জড়িত
investigation,তদন্ত
nuclear,পারমাণবিক
researcher,গবেষক
press,প্রেস
conflict,সংঘর্ষ
spirit,আত্মা
replace,প্রতিস্থাপন
British,ব্রিটিশ
encourage,উত্সাহিত করা
argument,যুক্তি
camp,শিবির
brain,মস্তিষ্ক
feature,বৈশিষ্ট্য
afternoon,বিকেল
AM,এএম
weekend,সপ্তাহান্তে
dozen,ডজন
possibility,সম্ভাবনা
insurance,বীমা
department,বিভাগ
battle,যুদ্ধ
beginning,শুরু
date,তারিখ
generally,সাধারণত
African,আফ্রিকান
sorry,দুঃখিত
crisis,সংকট
complete,সম্পূর্ণ
fan,পাখা
stick,লাঠি
define,সংজ্ঞায়িত করা
easily,সহজে
hole,গর্ত
element,উপাদান
vision,দৃষ্টি
status,অবস্থা
normal,স্বাভাবিক
Chinese,চাইনিজ
ship,জাহাজ
solution,সমাধান
stone,পাথর
slowly,ধীরে ধীরে
scale,স্কেল
university,বিশ্ববিদ্যালয়
introduce,পরিচয় করিয়ে দেওয়া
driver,ড্রাইভার
attempt,প্রচেষ্টা
park,পার্ক
spot,স্পট
lack,অভাব
ice,বরফ
boat,নৌকা
drink,পান করা
sun,সূর্য
distance,দূরত্ব
wood,কাঠ
handle,হাতল
truck,ট্রাক
mountain,পর্বত
survey,জরিপ
supposed,অনুমিত
tradition,ঐতিহ্য
winter,শীতকাল
village,গ্রাম
Soviet,সোভিয়েত
refuse,প্রত্যাখ্যান
sales,বিক্রয়
roll,রোল
communication,যোগাযোগ
screen,পর্দা
gain,লাভ করা
resident,বাসিন্দা
hide,লুকান
gold,সোনা
club,ক্লাব
farm,খামার
potential,সম্ভাব্য
European,ইউরোপীয়
presence,উপস্থিতি
independent,স্বাধীন
district,জেলা
shape,আকৃতি
reader,পাঠক
Ms,মাইক্রোসফট
contract,চুক্তি
crowd,ভিড়
Christian,খ্রিস্টান
express,প্রকাশ করা
apartment,অ্যাপার্টমেন্ট
willing,ইচ্ছুক
strength,শক্তি
previous,আগে
band,ব্যান্ড
obviously,স্পষ্টতই
horse,ঘোড়া
interested,আগ্রহী
target,লক্ষ্য
prison,কারাগার
ride,অশ্বারোহণ
guard,প্রহরী
terms,শর্তাবলী
demand,চাহিদা
reporter,রিপোর্টার
deliver,বিতরণ
text,পাঠ্য
tool,টুল
wild,বন্য
vehicle,যানবাহন
observe,পর্যবেক্ষণ
flight,ফ্লাইট
facility,সুবিধা
understanding,বোঝা
average,গড়
emerge,আবির্ভূত
advantage,সুবিধা
quick,দ্রুত
leadership,নেতৃত্ব
earn,উপার্জন
pound,পাউন্ড
basis,ভিত্তি
bright,উজ্জ্বল
operate,কাজ
guest,অতিথি
sample,নমুনা
contribute,অবদান
tiny,ক্ষুদ্র
block,ব্লক
protection,সুরক্ষা
settle,নিষ্পত্তি
feed,খাওয়ানো
collect,সংগ্রহ করা
additional,অতিরিক্ত
highly,অত্যন্ত
identity,পরিচয়
title,শিরোনাম
mostly,অধিকাংশ ক্ষেত্রে
lesson,পাঠ
faith,বিশ্বাস
river,নদী
promote,প্রচার
living,জীবিত
count,গণনা
unless,যদি না
marry,বিবাহ করা
tomorrow,আগামীকাল
technique,প্রযুক্তি
path,পথ
ear,কান
shop,দোকান
folk,লোক
principle,নীতি
survive,বেঁচে থাকা
lift,উত্তোলন
border,সীমান্ত
competition,প্রতিযোগিতা
jump,লাফ
gather,জড়ো করা
limit,সীমা
fit,ফিট
cry,কান্না
equipment,সরঞ্জাম
worth,মূল্য
associate,সহযোগী
critic,সমালোচক
warm,উষ্ণ
aspect,দৃষ্টিভঙ্গি
insist,জোর করা
failure,ব্যর্থতা
annual,বার্ষিক
French,ফরাসি
Christmas,বড়দিন
comment,মন্তব্য
responsible,দায়ী
affair,ব্যাপার
procedure,পদ্ধতি
regular,নিয়মিত
spread,ছড়িয়ে পড়া
chairman,চেয়ারম্যান
baseball,বেসবল
soft,নরম
ignore,উপেক্ষা
egg,ডিম
belief,বিশ্বাস
demonstrate,প্রদর্শন
anybody,যে কেউ
murder,হত্যা
gift,উপহার
religion,ধর্ম
review,পুনঃমূল্যায়ন
editor,সম্পাদক
engage,জড়িত
coffee,কফি
document,নথি
speed,গতি
cross,ক্রস
influence,প্রভাব
anyway,যাইহোক
threaten,হুমকি
commit,কমিট
female,মহিলা
youth,যৌবন
wave,তরঙ্গ
afraid,ভয়
quarter,চতুর্থাংশ
background,পটভূমি
native,স্থানীয়
broad,বিস্তৃত
wonderful,বিস্ময়কর
deny,অস্বীকার
apparently,দৃশ্যত
slightly,সামান্য
reaction,প্রতিক্রিয়া
twice,দুইবার
suit,স্যুট
perspective,দৃষ্টিকোণ
growing,ক্রমবর্ধমান
blow,ঘা
construction,নির্মাণ
intelligence,বুদ্ধিমত্তা
destroy,ধ্বংস
cook,রান্না
connection,সংযোগ
burn,পোড়া
shoe,জুতা
grade,শ্রেণী
context,প্রসঙ্গ
committee,কমিটি
hey,হে
mistake,ভুল
location,অবস্থান
clothes,বস্ত্র
Indian,ভারতীয়
quiet,শান্ত
dress,পোষাক
promise,প্রতিশ্রুতি
aware,সচেতন
neighbor,প্রতিবেশী
function,ফাংশন
bone,হাড়
active,সক্রিয়
extend,প্রসারিত করা
chief,প্রধান
combine,একত্রিত করা
wine,মদ
below,নিচে
cool,শীতল
voter,ভোটার
learning,শেখার
bus,বাস
hell,জাহান্নাম
dangerous,বিপজ্জনক
remind,মনে করিয়ে দেওয়া
moral,নৈতিক
United,ইউনাইটেড
category,বিভাগ
relatively,তুলনামূলকভাবে
victory,বিজয়
academic,একাডেমিক
Internet,ইন্টারনেট
healthy,সুস্থ
negative,নেতিবাচক
following,অনুসরণ
historical,ঐতিহাসিক
medicine,ওষুধ
tour,সফর
depend,নির্ভরশীল
photo,ফটো
finding,খোঁজা
grab,দখল
direct,সরাসরি
classroom,শ্রেণীকক্ষ
contact,যোগাযোগ
justice,বিচার
participate,অংশগ্রহণ
daily,দৈনিক
fair,ন্যায্য
pair,জোড়া
famous,বিখ্যাত
exercise,ব্যায়াম
knee,হাঁটু
flower,ফুল
tape,টেপ
hire,ভাড়া
familiar,পরিচিত
appropriate,যথাযথ
supply,সরবরাহ
fully,সম্পূর্ণরূপে
actor,অভিনেতা
birth,জন্ম
search,অনুসন্ধান
tie,টাই
democracy,গণতন্ত্র
eastern,পূর্ব
primary,প্রাথমিক
yesterday,গতকাল
circle,বৃত্ত
device,যন্ত্র
progress,অগ্রগতি
bottom,নীচে
island,দ্বীপ
exchange,বিনিময়
clean,পরিষ্কার
studio,স্টুডিও
train,ট্রেন
lady,ভদ্রমহিলা
colleague,সহকর্মী
application,আবেদন
neck,ঘাড়
lean,রোগা
damage,ক্ষতি
plastic,প্লাস্টিক
tall,লম্বা
plate,প্লেট
hate,ঘৃণা
otherwise,অন্যথায়
writing,লেখা
male,পুরুষ
alive,জীবিত
expression,অভিব্যক্তি
football,ফুটবল
intend,উদ্দেশ্য
chicken,মুরগি
army,সেনাবাহিনী
abuse,অপব্যবহার
theater,থিয়েটার
shut,বন্ধ
map,মানচিত্র
extra,অতিরিক্ত
session,সেশন
danger,বিপদ
welcome,স্বাগত
domestic,গার্হস্থ্য
lots,প্রচুর
literature,সাহিত্য
rain,বৃষ্টি
desire,ইচ্ছা
assessment,মূল্যায়ন
injury,আঘাত
respect,সম্মান
northern,উত্তর
nod,নড
paint,পেইন্ট
fuel,জ্বালানী
leaf,পাতা
dry,শুকনো
Russian,রাশিয়ান
instruction,নির্দেশ
pool,পুল
climb,আরোহণ
sweet,মিষ্টি
engine,ইঞ্জিন
fourth,চতুর্থ
salt,লবণ
expand,বিস্তৃত করা
importance,গুরুত্ব
metal,ধাতু
fat,চর্বি
ticket,টিকিট
